gene,drug_PRL
201369_s_at,12427
201370_s_at,17122
201371_s_at,21743
201372_s_at,4185
201373_at,16388
201374_x_at,3225
201375_s_at,15987
201376_s_at,564
201377_at,21386
201378_s_at,8561
201379_s_at,9732
201380_at,20212
201381_x_at,15865
201382_at,19345
201383_s_at,19499
201384_s_at,18470
201385_at,11304
201386_s_at,11185
201387_s_at,6136
201388_at,21127
201389_at,17653
201390_s_at,13020
201391_at,7202
201392_s_at,15871
201393_s_at,21345
201394_s_at,19749
201395_at,12165
201396_s_at,17534
201397_at,12107
201398_s_at,2091
201399_s_at,3087
201400_at,14710
201401_s_at,14109
201402_at,3712
201403_s_at,9524
201404_x_at,19318
201405_s_at,7938
201406_at,10178
201407_s_at,21410
201408_at,17111
201409_s_at,20057
201410_at,13761
201411_s_at,14659
201412_at,18185
201413_at,10743
201414_s_at,8349
201415_at,12170
201416_at,5316
201417_at,12482
201418_s_at,17592
201419_at,9334
201420_s_at,6826
201421_s_at,21645
201422_at,10317
201423_s_at,16157
201424_s_at,20336
201425_at,9788
201426_s_at,10612
201427_s_at,8663
201428_at,12983
201429_s_at,5905
201430_s_at,14004
201431_s_at,7580
201432_at,9952
201433_s_at,15639
201434_at,17350
201435_s_at,16183
201436_at,16778
201437_s_at,21686
201438_at,7455
201439_at,13571
201440_at,18918
201441_at,12652
201442_s_at,8627
201443_s_at,13669
201444_s_at,18675
201445_at,6696
201446_s_at,10308
201447_at,18127
201448_at,21996
201449_at,20883
201450_s_at,20854
201451_x_at,5588
201452_at,6718
201453_x_at,10837
201454_s_at,18173
201455_s_at,7043
201456_s_at,7932
201457_x_at,14380
201458_s_at,20597
201459_at,9318
201460_at,15655
201461_s_at,6080
201462_at,13698
201463_s_at,4468
201464_x_at,9613
201465_s_at,1062
201466_s_at,16668
201467_s_at,15017
201468_s_at,7980
201469_s_at,3358
201470_at,10437
201471_s_at,10125
201472_at,17807
201473_at,22271
201474_s_at,11783
201475_x_at,6561
201476_s_at,14996
201477_s_at,14386
201478_s_at,1782
201479_at,7949
201480_s_at,14522
201481_s_at,7982
201482_at,12415
201483_s_at,13212
201484_at,17956
201485_s_at,21734
201486_at,20939
201487_at,16487
201488_x_at,16892
201489_at,14162
201490_s_at,13832
201491_at,13818
201492_s_at,4031
201493_s_at,13334
201494_at,20816
201495_x_at,1868
201496_x_at,810
201497_x_at,8145
201498_at,18499
201499_s_at,14116
201500_s_at,12732
201501_s_at,17656
201502_s_at,13445
201503_at,11385
201504_s_at,14300
201505_at,18240
201506_at,12435
201507_at,15697
201508_at,14566
201509_at,12814
201510_at,6458
201511_at,9781
201512_s_at,10668
201513_at,12998
201514_s_at,19325
201515_s_at,1919
201516_at,16965
201517_at,21953
201518_at,17619
201519_at,15155
201520_s_at,18338
201521_s_at,18403
201522_x_at,1236
201523_x_at,11639
201524_x_at,14931
201525_at,13439
201526_at,7062
201527_at,4705
201528_at,17075
201529_s_at,17448
201530_x_at,7173
201531_at,12709
201532_at,8151
201533_at,14612
201534_s_at,17822
201535_at,20103
201536_at,18778
201537_s_at,4030
201538_s_at,6151
201539_s_at,3733
201540_at,16445
201541_s_at,6825
201542_at,21000
201543_s_at,10036
201544_x_at,15861
201545_s_at,7339
201546_at,17609
201547_at,14800
201548_s_at,3653
201549_x_at,20998
201550_x_at,3519
201551_s_at,879
201552_at,15267
201553_s_at,8045
201554_x_at,12080
201555_at,19051
201556_s_at,11288
201557_at,17060
201558_at,14699
201559_s_at,98
201560_at,19970
201561_s_at,20885
201562_s_at,20807
201563_at,18321
201564_s_at,12542
201565_s_at,16501
201566_x_at,19246
201567_s_at,17703
201568_at,6830
201569_s_at,14030
201570_at,21075
201571_s_at,18651
201572_x_at,13395
201573_s_at,6162
201574_at,17552
201575_at,18861
201576_s_at,14449
201577_at,12640
201578_at,17517
201579_at,21651
201580_s_at,15045
201581_at,21702
201582_at,19340
201583_s_at,9007
201584_s_at,16529
201585_s_at,18627
201586_s_at,21680
201587_s_at,19849
201588_at,17189
201589_at,21670
201590_x_at,1207
201591_s_at,13316
201592_at,13781
201593_s_at,17048
201594_s_at,14456
201595_s_at,19992
201596_x_at,5937
201597_at,11763
201598_s_at,18775
201599_at,16987
201600_at,3027
201601_x_at,15810
201602_s_at,21761
201603_at,19637
201604_s_at,19802
201605_x_at,20595
201606_s_at,17933
201607_at,9017
201608_s_at,1517
201609_x_at,16490
201610_at,6684
201611_s_at,12564
201612_at,6796
201613_s_at,7661
201614_s_at,17385
201615_x_at,90
201616_s_at,11831
201617_x_at,15331
201618_x_at,14229
201619_at,17891
201620_at,17410
201621_at,9357
201622_at,9594
201623_s_at,14874
201624_at,20453
201625_s_at,11336
201626_at,1825
201627_s_at,6605
201628_s_at,16299
201629_s_at,2290
201630_s_at,15713
201631_s_at,3332
201632_at,3075
201633_s_at,12468
201634_s_at,12853
201635_s_at,18115
201636_at,10600
201637_s_at,6990
201638_s_at,541
